column,pcode,description,dictionary,mapped_rows,coverage,candidate_matches
F171,OKATOPP,Населенный пункт,,0,0.0,
F172,,,,0,0.0,
F173,,,,0,0.0,
F174,,,,0,0.0,
F175,,,,0,0.0,
F176,,,,0,0.0,
F177,,,,0,0.0,
F178,,,,0,0.0,
F179,,,,0,0.0,
F180,,,,0,0.0,
F181,,,,0,0.0,
F182,,,,0,0.0,
F183,,,,0,0.0,
F184,,,,0,0.0,
F185,,,,0,0.0,
F186,,,,0,0.0,
F187,,,,0,0.0,
F188,,,,0,0.0,
F189,,,,0,0.0,
F190,,,,0,0.0,
F191,,,,0,0.0,
F192,,,,0,0.0,
F193,,,,0,0.0,
F194,,,,0,0.0,
F195,,,,0,0.0,
F196,,,,0,0.0,
F197,,,,0,0.0,
F198,,,,0,0.0,
F199,,,,0,0.0,
ПОЛЕ203,,,,0,0.0,
ПОЛЕ204,,,,0,0.0,
ПОЛЕ205,,,,0,0.0,
ПОЛЕ206,,,,0,0.0,
ПОЛЕ207,,,,0,0.0,
ПОЛЕ208,,,,0,0.0,
