table,status,records_after_normalize,with_address,with_address_comment,with_settlement,with_district,with_territory,with_coords,with_event_date,resolved_address,resolved_address_comment,resolved_arrival_time,resolved_casualty_flag,resolved_consequence,resolved_deaths,resolved_destroyed_area,resolved_destroyed_buildings,resolved_detection_time,resolved_distance_to_fire_station,resolved_district,resolved_event_date,resolved_injuries,resolved_latitude,resolved_longitude,resolved_object_category,resolved_object_name,resolved_registered_damage,resolved_report_time,resolved_settlement,resolved_settlement_type,resolved_territory_label,resolved_water_supply_count,resolved_water_supply_details
clean_STAT1995_decoded,ok,8045,8036,8036,8045,0,8045,0,8045,F148 | PRIM | Примечание,F148 | PRIM | Примечание,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT1996_decoded,ok,7756,5050,5050,7756,0,7756,0,7756,PRIM,PRIM,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT1997_decoded,ok,7195,5728,5728,7195,0,7195,0,7195,PRIM,PRIM,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT1998_decoded,ok,6913,4843,4843,6913,0,6913,0,6913,PRIM,PRIM,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT1999_decoded,ok,6703,5765,5765,6703,0,6703,0,6703,PRIM,PRIM,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2000_decoded,ok,6546,5302,5302,6546,0,6546,0,6546,PRIM,PRIM,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2001_decoded,ok,6290,5674,5674,6290,0,6290,0,6290,PRIM,PRIM,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2002_decoded,ok,6142,5586,5586,6142,0,6142,0,6142,PRIM,PRIM,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2003_decoded,ok,5930,4713,4713,5930,0,5930,0,5930,PRIM,PRIM,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
clean_STAT2004_decoded,ok,5948,4233,4233,5948,0,5948,0,5948,PRIM,PRIM,F65 | P43_1 | Время прибытия 1 пож. подра,,,"F83 | P50_1 | Количество техники, ед",,,"F62 | P41_2 | Время обнаружения, мин.",,,F5 | P4 | Дата возникновения пожара,"F83 | P50_1 | Количество техники, ед",,,,F13 | P10_2 | Вид охраны объекта,,"F63 | P42_1 | Время сообщения, час.",F6 | P5_1 | Вид: населенного пункта,F6 | P5_1 | Вид: населенного пункта,F171 | OKATOPP | Населенный пункт,"F83 | P50_1 | Количество техники, ед",
